# Time(ps)	['CHL1', 'POPC', 'POPI', 'POPI13', 'DOPC']
0.0	[48.087176892058068, 36.73444327838876, 8.2140712286087503]	[58.669571464972059, 51.119988179493731, 11.43077685783337]	[57.081342306620414, 46.741176485334989, 10.451644796952372]	[50.509594305246367, 43.431765639703251, 9.7116380353216112]	[47.13750201060644, 36.915025643038732, 8.2544506728982494]
5.0	[48.087176892058068, 36.73444327838876, 8.2140712286087503]	[58.669571464972059, 51.119988179493731, 11.43077685783337]	[57.081342306620414, 46.741176485334989, 10.451644796952372]	[50.509594305246367, 43.431765639703251, 9.7116380353216112]	[47.13750201060644, 36.915025643038732, 8.2544506728982494]
10.0	[48.087176892058068, 36.73444327838876, 8.2140712286087503]	[58.669571464972059, 51.119988179493731, 11.43077685783337]	[57.081342306620414, 46.741176485334989, 10.451644796952372]	[50.509594305246367, 43.431765639703251, 9.7116380353216112]	[47.13750201060644, 36.915025643038732, 8.2544506728982494]
15.0	[48.087176892058068, 36.73444327838876, 8.2140712286087503]	[58.669571464972059, 51.119988179493731, 11.43077685783337]	[57.081342306620414, 46.741176485334989, 10.451644796952372]	[50.509594305246367, 43.431765639703251, 9.7116380353216112]	[47.13750201060644, 36.915025643038732, 8.2544506728982494]
20.0	[48.087176892058068, 36.73444327838876, 8.2140712286087503]	[58.669571464972059, 51.119988179493731, 11.43077685783337]	[57.081342306620414, 46.741176485334989, 10.451644796952372]	[50.509594305246367, 43.431765639703251, 9.7116380353216112]	[47.13750201060644, 36.915025643038732, 8.2544506728982494]
25.0	[48.087176892058068, 36.73444327838876, 8.2140712286087503]	[58.669571464972059, 51.119988179493731, 11.43077685783337]	[57.081342306620414, 46.741176485334989, 10.451644796952372]	[50.509594305246367, 43.431765639703251, 9.7116380353216112]	[47.13750201060644, 36.915025643038732, 8.2544506728982494]
30.0	[48.087176892058068, 36.73444327838876, 8.2140712286087503]	[58.669571464972059, 51.119988179493731, 11.43077685783337]	[57.081342306620414, 46.741176485334989, 10.451644796952372]	[50.509594305246367, 43.431765639703251, 9.7116380353216112]	[47.13750201060644, 36.915025643038732, 8.2544506728982494]
35.0	[48.087176892058068, 36.73444327838876, 8.2140712286087503]	[58.669571464972059, 51.119988179493731, 11.43077685783337]	[57.081342306620414, 46.741176485334989, 10.451644796952372]	[50.509594305246367, 43.431765639703251, 9.7116380353216112]	[47.13750201060644, 36.915025643038732, 8.2544506728982494]
40.0	[48.087176892058068, 36.73444327838876, 8.2140712286087503]	[58.669571464972059, 51.119988179493731, 11.43077685783337]	[57.081342306620414, 46.741176485334989, 10.451644796952372]	[50.509594305246367, 43.431765639703251, 9.7116380353216112]	[47.13750201060644, 36.915025643038732, 8.2544506728982494]
45.0	[48.087176892058068, 36.73444327838876, 8.2140712286087503]	[58.669571464972059, 51.119988179493731, 11.43077685783337]	[57.081342306620414, 46.741176485334989, 10.451644796952372]	[50.509594305246367, 43.431765639703251, 9.7116380353216112]	[47.13750201060644, 36.915025643038732, 8.2544506728982494]
50.0	[48.087176892058068, 36.73444327838876, 8.2140712286087503]	[58.669571464972059, 51.119988179493731, 11.43077685783337]	[57.081342306620414, 46.741176485334989, 10.451644796952372]	[50.509594305246367, 43.431765639703251, 9.7116380353216112]	[47.13750201060644, 36.915025643038732, 8.2544506728982494]
55.0	[48.087176892058068, 36.73444327838876, 8.2140712286087503]	[58.669571464972059, 51.119988179493731, 11.43077685783337]	[57.081342306620414, 46.741176485334989, 10.451644796952372]	[50.509594305246367, 43.431765639703251, 9.7116380353216112]	[47.13750201060644, 36.915025643038732, 8.2544506728982494]
60.0	[48.087176892058068, 36.73444327838876, 8.2140712286087503]	[58.669571464972059, 51.119988179493731, 11.43077685783337]	[57.081342306620414, 46.741176485334989, 10.451644796952372]	[50.509594305246367, 43.431765639703251, 9.7116380353216112]	[47.13750201060644, 36.915025643038732, 8.2544506728982494]
65.0	[48.087176892058068, 36.73444327838876, 8.2140712286087503]	[58.669571464972059, 51.119988179493731, 11.43077685783337]	[57.081342306620414, 46.741176485334989, 10.451644796952372]	[50.509594305246367, 43.431765639703251, 9.7116380353216112]	[47.13750201060644, 36.915025643038732, 8.2544506728982494]
70.0	[48.087176892058068, 36.73444327838876, 8.2140712286087503]	[58.669571464972059, 51.119988179493731, 11.43077685783337]	[57.081342306620414, 46.741176485334989, 10.451644796952372]	[50.509594305246367, 43.431765639703251, 9.7116380353216112]	[47.13750201060644, 36.915025643038732, 8.2544506728982494]
75.0	[48.087176892058068, 36.73444327838876, 8.2140712286087503]	[58.669571464972059, 51.119988179493731, 11.43077685783337]	[57.081342306620414, 46.741176485334989, 10.451644796952372]	[50.509594305246367, 43.431765639703251, 9.7116380353216112]	[47.13750201060644, 36.915025643038732, 8.2544506728982494]
80.0	[48.087176892058068, 36.73444327838876, 8.2140712286087503]	[58.669571464972059, 51.119988179493731, 11.43077685783337]	[57.081342306620414, 46.741176485334989, 10.451644796952372]	[50.509594305246367, 43.431765639703251, 9.7116380353216112]	[47.13750201060644, 36.915025643038732, 8.2544506728982494]
85.0	[48.087176892058068, 36.73444327838876, 8.2140712286087503]	[58.669571464972059, 51.119988179493731, 11.43077685783337]	[57.081342306620414, 46.741176485334989, 10.451644796952372]	[50.509594305246367, 43.431765639703251, 9.7116380353216112]	[47.13750201060644, 36.915025643038732, 8.2544506728982494]
90.0	[48.087176892058068, 36.73444327838876, 8.2140712286087503]	[58.669571464972059, 51.119988179493731, 11.43077685783337]	[57.081342306620414, 46.741176485334989, 10.451644796952372]	[50.509594305246367, 43.431765639703251, 9.7116380353216112]	[47.13750201060644, 36.915025643038732, 8.2544506728982494]
95.0	[48.087176892058068, 36.73444327838876, 8.2140712286087503]	[58.669571464972059, 51.119988179493731, 11.43077685783337]	[57.081342306620414, 46.741176485334989, 10.451644796952372]	[50.509594305246367, 43.431765639703251, 9.7116380353216112]	[47.13750201060644, 36.915025643038732, 8.2544506728982494]
100.0	[48.087176892058068, 36.73444327838876, 8.2140712286087503]	[58.669571464972059, 51.119988179493731, 11.43077685783337]	[57.081342306620414, 46.741176485334989, 10.451644796952372]	[50.509594305246367, 43.431765639703251, 9.7116380353216112]	[47.13750201060644, 36.915025643038732, 8.2544506728982494]
