# ps/frame	Tilt angle
2	61.9441132003
4	61.1378622135
6	63.434526604
8	64.5441059264
10	59.2539841912
12	59.3031147424
14	59.1343427113
16	56.5301383519
18	59.2261460167
20	59.0338689466
22	58.7861129343
24	61.120004235
26	62.3555089957
28	61.4590194091
30	62.8303356461
32	62.3853462595
34	65.4818367803
36	64.4584333894
38	64.2870248303
40	62.9495888041
42	61.9441132003
44	61.1378622135
46	63.434526604
48	64.5441059264
50	59.2539841912
52	59.3031147424
54	59.1343427113
56	56.5301383519
58	59.2261460167
60	59.0338689466
62	58.7861129343
64	61.120004235
66	62.3555089957
68	61.4590194091
70	62.8303356461
72	62.3853462595
74	65.4818367803
76	64.4584333894
78	64.2870248303
80	62.9495888041
82	61.9441132003
84	61.1378622135
86	63.434526604
88	64.5441059264
90	59.2539841912
92	59.3031147424
94	59.1343427113
96	56.5301383519
98	59.2261460167
100	59.0338689466
102	58.7861129343
104	61.120004235
106	62.3555089957
108	61.4590194091
110	62.8303356461
112	62.3853462595
114	65.4818367803
116	64.4584333894
118	64.2870248303
120	62.9495888041
122	61.9441132003
124	61.1378622135
126	63.434526604
128	64.5441059264
130	59.2539841912
132	59.3031147424
134	59.1343427113
136	56.5301383519
138	59.2261460167
140	59.0338689466
142	58.7861129343
144	61.120004235
146	62.3555089957
148	61.4590194091
150	62.8303356461
152	62.3853462595
154	65.4818367803
156	64.4584333894
158	64.2870248303
160	62.9495888041
162	61.9441132003
164	61.1378622135
166	63.434526604
168	64.5441059264
170	59.2539841912
172	59.3031147424
174	59.1343427113
176	56.5301383519
178	59.2261460167
180	59.0338689466
182	58.7861129343
184	61.120004235
186	62.3555089957
188	61.4590194091
190	62.8303356461
192	62.3853462595
194	65.4818367803
196	64.4584333894
198	64.2870248303
200	62.9495888041
202	61.9441132003
204	61.1378622135
206	63.434526604
208	64.5441059264
210	59.2539841912
212	59.3031147424
214	59.1343427113
216	56.5301383519
218	59.2261460167
220	59.0338689466
222	58.7861129343
224	61.120004235
226	62.3555089957
228	61.4590194091
230	62.8303356461
232	62.3853462595
234	65.4818367803
236	64.4584333894
238	64.2870248303
240	62.9495888041
242	61.9441132003
244	61.1378622135
246	63.434526604
248	64.5441059264
250	59.2539841912
252	59.3031147424
254	59.1343427113
256	56.5301383519
258	59.2261460167
260	59.0338689466
262	58.7861129343
264	61.120004235
266	62.3555089957
268	61.4590194091
270	62.8303356461
272	62.3853462595
274	65.4818367803
276	64.4584333894
278	64.2870248303
280	62.9495888041
282	61.9441132003
284	61.1378622135
286	63.434526604
288	64.5441059264
290	59.2539841912
292	59.3031147424
294	59.1343427113
296	56.5301383519
298	59.2261460167
300	59.0338689466
302	58.7861129343
304	61.120004235
306	62.3555089957
308	61.4590194091
310	62.8303356461
312	62.3853462595
314	65.4818367803
316	64.4584333894
318	64.2870248303
320	62.9495888041
322	61.9441132003
324	61.1378622135
326	63.434526604
328	64.5441059264
330	59.2539841912
332	59.3031147424
334	59.1343427113
336	56.5301383519
338	59.2261460167
340	59.0338689466
342	58.7861129343
344	61.120004235
346	62.3555089957
348	61.4590194091
350	62.8303356461
352	62.3853462595
354	65.4818367803
356	64.4584333894
358	64.2870248303
360	62.9495888041
362	61.9441132003
364	61.1378622135
366	63.434526604
368	64.5441059264
370	59.2539841912
372	59.3031147424
374	59.1343427113
376	56.5301383519
378	59.2261460167
380	59.0338689466
382	58.7861129343
384	61.120004235
386	62.3555089957
388	61.4590194091
390	62.8303356461
392	62.3853462595
394	65.4818367803
396	64.4584333894
