# ps/frame	Tilt angle
2	60.340679851
4	60.3049603722
6	61.51292039
8	62.2145455844
10	61.2585335613
12	58.9935793775
14	59.9203279686
16	58.6593333103
18	58.640115519
20	60.2853887163
22	60.4298761739
24	61.4235906364
26	60.020918819
28	59.7038639512
30	59.5468574626
32	59.978488174
34	61.640706094
36	61.1722331752
38	60.2087854986
40	60.8663537662
42	60.340679851
44	60.3049603722
46	61.51292039
48	62.2145455844
50	61.2585335613
52	58.9935793775
54	59.9203279686
56	58.6593333103
58	58.640115519
60	60.2853887163
62	60.4298761739
64	61.4235906364
66	60.020918819
68	59.7038639512
70	59.5468574626
72	59.978488174
74	61.640706094
76	61.1722331752
78	60.2087854986
80	60.8663537662
82	60.340679851
84	60.3049603722
86	61.51292039
88	62.2145455844
90	61.2585335613
92	58.9935793775
94	59.9203279686
96	58.6593333103
98	58.640115519
100	60.2853887163
102	60.4298761739
104	61.4235906364
106	60.020918819
108	59.7038639512
110	59.5468574626
112	59.978488174
114	61.640706094
116	61.1722331752
118	60.2087854986
120	60.8663537662
122	60.340679851
124	60.3049603722
126	61.51292039
128	62.2145455844
130	61.2585335613
132	58.9935793775
134	59.9203279686
136	58.6593333103
138	58.640115519
140	60.2853887163
142	60.4298761739
144	61.4235906364
146	60.020918819
148	59.7038639512
150	59.5468574626
152	59.978488174
154	61.640706094
156	61.1722331752
158	60.2087854986
160	60.8663537662
162	60.340679851
164	60.3049603722
166	61.51292039
168	62.2145455844
170	61.2585335613
172	58.9935793775
174	59.9203279686
176	58.6593333103
178	58.640115519
180	60.2853887163
182	60.4298761739
184	61.4235906364
186	60.020918819
188	59.7038639512
190	59.5468574626
192	59.978488174
194	61.640706094
196	61.1722331752
198	60.2087854986
200	60.8663537662
202	60.340679851
204	60.3049603722
206	61.51292039
208	62.2145455844
210	61.2585335613
212	58.9935793775
214	59.9203279686
216	58.6593333103
218	58.640115519
220	60.2853887163
222	60.4298761739
224	61.4235906364
226	60.020918819
228	59.7038639512
230	59.5468574626
232	59.978488174
234	61.640706094
236	61.1722331752
238	60.2087854986
240	60.8663537662
242	60.340679851
244	60.3049603722
246	61.51292039
248	62.2145455844
250	61.2585335613
252	58.9935793775
254	59.9203279686
256	58.6593333103
258	58.640115519
260	60.2853887163
262	60.4298761739
264	61.4235906364
266	60.020918819
268	59.7038639512
270	59.5468574626
272	59.978488174
274	61.640706094
276	61.1722331752
278	60.2087854986
280	60.8663537662
282	60.340679851
284	60.3049603722
286	61.51292039
288	62.2145455844
290	61.2585335613
292	58.9935793775
294	59.9203279686
296	58.6593333103
298	58.640115519
300	60.2853887163
302	60.4298761739
304	61.4235906364
306	60.020918819
