# ps/frame	Tilt angle
2	44.2644609326
4	44.6390506494
6	45.2652840769
8	44.6819153876
10	45.1091709782
12	43.3880402337
14	43.7204537935
16	43.7599487295
18	44.0463867058
20	44.1951071825
22	44.9683623176
24	45.4167252025
26	44.5004927793
28	44.2078395315
30	44.5585652887
32	44.4634903499
34	45.721484548
36	44.6610137073
38	44.232525987
40	45.0755589778
42	44.2644609326
44	44.6390506494
46	45.2652840769
48	44.6819153876
50	45.1091709782
52	43.3880402337
54	43.7204537935
56	43.7599487295
58	44.0463867058
60	44.1951071825
62	44.9683623176
64	45.4167252025
66	44.5004927793
68	44.2078395315
70	44.5585652887
72	44.4634903499
74	45.721484548
76	44.6610137073
78	44.232525987
80	45.0755589778
82	44.2644609326
84	44.6390506494
86	45.2652840769
88	44.6819153876
90	45.1091709782
92	43.3880402337
94	43.7204537935
96	43.7599487295
98	44.0463867058
100	44.1951071825
102	44.9683623176
104	45.4167252025
106	44.5004927793
108	44.2078395315
110	44.5585652887
112	44.4634903499
114	45.721484548
116	44.6610137073
118	44.232525987
120	45.0755589778
122	44.2644609326
124	44.6390506494
126	45.2652840769
128	44.6819153876
130	45.1091709782
132	43.3880402337
134	43.7204537935
136	43.7599487295
138	44.0463867058
140	44.1951071825
142	44.9683623176
144	45.4167252025
146	44.5004927793
148	44.2078395315
150	44.5585652887
152	44.4634903499
154	45.721484548
156	44.6610137073
158	44.232525987
160	45.0755589778
162	44.2644609326
164	44.6390506494
166	45.2652840769
168	44.6819153876
170	45.1091709782
172	43.3880402337
174	43.7204537935
176	43.7599487295
178	44.0463867058
180	44.1951071825
182	44.9683623176
184	45.4167252025
186	44.5004927793
188	44.2078395315
190	44.5585652887
192	44.4634903499
194	45.721484548
196	44.6610137073
198	44.232525987
200	45.0755589778
202	44.2644609326
204	44.6390506494
206	45.2652840769
208	44.6819153876
210	45.1091709782
212	43.3880402337
214	43.7204537935
216	43.7599487295
218	44.0463867058
220	44.1951071825
222	44.9683623176
224	45.4167252025
226	44.5004927793
228	44.2078395315
230	44.5585652887
232	44.4634903499
234	45.721484548
236	44.6610137073
238	44.232525987
240	45.0755589778
242	44.2644609326
244	44.6390506494
246	45.2652840769
248	44.6819153876
250	45.1091709782
252	43.3880402337
254	43.7204537935
256	43.7599487295
258	44.0463867058
260	44.1951071825
262	44.9683623176
264	45.4167252025
266	44.5004927793
268	44.2078395315
270	44.5585652887
272	44.4634903499
274	45.721484548
276	44.6610137073
278	44.232525987
280	45.0755589778
282	44.2644609326
284	44.6390506494
286	45.2652840769
288	44.6819153876
290	45.1091709782
292	43.3880402337
294	43.7204537935
296	43.7599487295
298	44.0463867058
300	44.1951071825
302	44.9683623176
304	45.4167252025
306	44.5004927793
308	44.2078395315
310	44.5585652887
312	44.4634903499
314	45.721484548
316	44.6610137073
318	44.232525987
320	45.0755589778
322	44.2644609326
324	44.6390506494
326	45.2652840769
328	44.6819153876
330	45.1091709782
332	43.3880402337
334	43.7204537935
336	43.7599487295
338	44.0463867058
340	44.1951071825
342	44.9683623176
344	45.4167252025
346	44.5004927793
348	44.2078395315
350	44.5585652887
352	44.4634903499
354	45.721484548
356	44.6610137073
358	44.232525987
360	45.0755589778
362	44.2644609326
364	44.6390506494
366	45.2652840769
368	44.6819153876
370	45.1091709782
372	43.3880402337
374	43.7204537935
376	43.7599487295
378	44.0463867058
380	44.1951071825
382	44.9683623176
384	45.4167252025
386	44.5004927793
388	44.2078395315
390	44.5585652887
392	44.4634903499
394	45.721484548
396	44.6610137073
398	44.232525987
400	45.0755589778
402	44.2644609326
404	44.6390506494
406	45.2652840769
408	44.6819153876
410	45.1091709782
412	43.3880402337
414	43.7204537935
416	43.7599487295
418	44.0463867058
420	44.1951071825
422	44.9683623176
424	45.4167252025
426	44.5004927793
428	44.2078395315
430	44.5585652887
432	44.4634903499
434	45.721484548
436	44.6610137073
438	44.232525987
440	45.0755589778
442	44.2644609326
444	44.6390506494
446	45.2652840769
448	44.6819153876
450	45.1091709782
452	43.3880402337
454	43.7204537935
456	43.7599487295
458	44.0463867058
460	44.1951071825
462	44.9683623176
464	45.4167252025
466	44.5004927793
468	44.2078395315
470	44.5585652887
472	44.4634903499
474	45.721484548
476	44.6610137073
478	44.232525987
480	45.0755589778
482	44.2644609326
484	44.6390506494
486	45.2652840769
488	44.6819153876
490	45.1091709782
492	43.3880402337
494	43.7204537935
496	43.7599487295
498	44.0463867058
500	44.1951071825
502	44.9683623176
504	45.4167252025
506	44.5004927793
508	44.2078395315
510	44.5585652887
512	44.4634903499
514	45.721484548
516	44.6610137073
518	44.232525987
520	45.0755589778
522	44.2644609326
524	44.6390506494
526	45.2652840769
528	44.6819153876
530	45.1091709782
532	43.3880402337
534	43.7204537935
536	43.7599487295
538	44.0463867058
540	44.1951071825
542	44.9683623176
544	45.4167252025
546	44.5004927793
548	44.2078395315
550	44.5585652887
552	44.4634903499
554	45.721484548
556	44.6610137073
558	44.232525987
560	45.0755589778
562	44.2644609326
564	44.6390506494
566	45.2652840769
568	44.6819153876
570	45.1091709782
572	43.3880402337
574	43.7204537935
576	43.7599487295
578	44.0463867058
580	44.1951071825
582	44.9683623176
584	45.4167252025
586	44.5004927793
588	44.2078395315
590	44.5585652887
592	44.4634903499
594	45.721484548
596	44.6610137073
598	44.232525987
600	45.0755589778
602	44.2644609326
604	44.6390506494
606	45.2652840769
608	44.6819153876
610	45.1091709782
612	43.3880402337
614	43.7204537935
616	43.7599487295
618	44.0463867058
620	44.1951071825
622	44.9683623176
624	45.4167252025
626	44.5004927793
628	44.2078395315
630	44.5585652887
632	44.4634903499
634	45.721484548
636	44.6610137073
638	44.232525987
640	45.0755589778
642	44.2644609326
644	44.6390506494
646	45.2652840769
648	44.6819153876
650	45.1091709782
652	43.3880402337
654	43.7204537935
656	43.7599487295
658	44.0463867058
660	44.1951071825
662	44.9683623176
664	45.4167252025
666	44.5004927793
668	44.2078395315
670	44.5585652887
672	44.4634903499
674	45.721484548
676	44.6610137073
678	44.232525987
680	45.0755589778
682	44.2644609326
684	44.6390506494
686	45.2652840769
688	44.6819153876
690	45.1091709782
692	43.3880402337
694	43.7204537935
696	43.7599487295
698	44.0463867058
700	44.1951071825
702	44.9683623176
704	45.4167252025
706	44.5004927793
708	44.2078395315
710	44.5585652887
712	44.4634903499
714	45.721484548
716	44.6610137073
718	44.232525987
720	45.0755589778
722	44.2644609326
724	44.6390506494
726	45.2652840769
728	44.6819153876
730	45.1091709782
732	43.3880402337
734	43.7204537935
736	43.7599487295
738	44.0463867058
740	44.1951071825
742	44.9683623176
744	45.4167252025
746	44.5004927793
748	44.2078395315
750	44.5585652887
752	44.4634903499
754	45.721484548
756	44.6610137073
758	44.232525987
760	45.0755589778
762	44.2644609326
764	44.6390506494
766	45.2652840769
768	44.6819153876
770	45.1091709782
772	43.3880402337
774	43.7204537935
776	43.7599487295
778	44.0463867058
780	44.1951071825
782	44.9683623176
784	45.4167252025
786	44.5004927793
788	44.2078395315
790	44.5585652887
792	44.4634903499
794	45.721484548
796	44.6610137073
798	44.232525987
800	45.0755589778
802	44.2644609326
804	44.6390506494
806	45.2652840769
808	44.6819153876
810	45.1091709782
812	43.3880402337
814	43.7204537935
816	43.7599487295
818	44.0463867058
820	44.1951071825
822	44.9683623176
824	45.4167252025
826	44.5004927793
828	44.2078395315
830	44.5585652887
832	44.4634903499
834	45.721484548
836	44.6610137073
838	44.232525987
840	45.0755589778
842	44.2644609326
844	44.6390506494
846	45.2652840769
848	44.6819153876
850	45.1091709782
852	43.3880402337
854	43.7204537935
856	43.7599487295
858	44.0463867058
860	44.1951071825
862	44.9683623176
864	45.4167252025
866	44.5004927793
868	44.2078395315
870	44.5585652887
872	44.4634903499
874	45.721484548
876	44.6610137073
878	44.232525987
880	45.0755589778
882	40.4989569958
884	40.9600517703
886	40.0444552791
888	40.9474736217
890	42.0118311547
892	42.0897759029
894	41.3063523019
896	40.6265615454
898	41.1091469202
900	40.8411196843
902	40.5771112824
904	40.5954356611
906	40.2210968615
908	41.3386272532
910	41.4211572951
912	41.0531418948
914	41.1693795133
916	40.7006569218
918	39.5031524412
920	40.0015978885
922	41.4325580103
924	41.3250518157
926	41.2187202654
928	42.1108187393
930	41.6385822278
932	41.2793324443
934	41.6324723289
936	42.1029871832
938	42.4034359026
940	42.680616446
942	43.8271793094
944	43.5173455618
946	43.393397258
948	43.5712465443
950	43.0882058412
952	42.7028025427
954	43.48486521
956	43.7214915468
958	43.8409426224
960	43.9271072669
962	43.7178209517
964	43.1950239983
966	43.1133171378
968	43.8373636859
970	43.4388624589
972	43.8124486499
974	43.9492837849
976	44.1144236223
978	42.7719114571
980	43.9817029728
982	44.1177778241
984	44.0437604444
986	44.9287766643
988	44.4891450843
990	43.8593634337
992	43.286072341
994	43.8803005442
996	43.5102684072
998	44.0300128625
1000	43.1449911129
1002	43.4278308346
1004	43.125129284
1006	42.6999461616
1008	42.9006116227
1010	42.7733929477
1012	42.0122823521
1014	42.8407763186
1016	42.8383218391
1018	42.7051827718
1020	42.4514497342
1022	42.9230185675
1024	42.7613940241
1026	42.7478793457
1028	42.2469755642
