# ps/frame	Tilt angle
2	61.6352746506
4	61.889428625
6	63.6376161317
8	64.4516281509
10	61.4160354916
12	59.5220240799
14	61.3370675592
16	59.127419771
18	59.4920355024
20	61.4871611887
22	60.8249308922
24	62.8385521677
26	61.6584377659
28	60.4934504734
30	61.3916933089
32	60.9094560052
34	63.2122128435
36	63.3652604851
38	62.4210780754
40	62.7932596626
42	61.6352746506
44	61.889428625
46	63.6376161317
48	64.4516281509
50	61.4160354916
52	59.5220240799
54	61.3370675592
56	59.127419771
58	59.4920355024
60	61.4871611887
62	60.8249308922
64	62.8385521677
66	61.6584377659
68	60.4934504734
70	61.3916933089
72	60.9094560052
74	63.2122128435
76	63.3652604851
78	62.4210780754
80	62.7932596626
82	61.6352746506
84	61.889428625
86	63.6376161317
88	64.4516281509
90	61.4160354916
92	59.5220240799
94	61.3370675592
96	59.127419771
98	59.4920355024
100	61.4871611887
102	60.8249308922
104	62.8385521677
106	61.6584377659
108	60.4934504734
110	61.3916933089
112	60.9094560052
114	63.2122128435
116	63.3652604851
118	62.4210780754
120	62.7932596626
122	61.6352746506
124	61.889428625
126	63.6376161317
128	64.4516281509
130	61.4160354916
132	59.5220240799
134	61.3370675592
136	59.127419771
138	59.4920355024
140	61.4871611887
142	60.8249308922
144	62.8385521677
146	61.6584377659
148	60.4934504734
150	61.3916933089
152	60.9094560052
154	63.2122128435
156	63.3652604851
158	62.4210780754
160	62.7932596626
162	61.6352746506
164	61.889428625
166	63.6376161317
168	64.4516281509
170	61.4160354916
172	59.5220240799
174	61.3370675592
176	59.127419771
178	59.4920355024
180	61.4871611887
182	60.8249308922
184	62.8385521677
186	61.6584377659
188	60.4934504734
190	61.3916933089
192	60.9094560052
194	63.2122128435
196	63.3652604851
198	62.4210780754
200	62.7932596626
202	61.6352746506
204	61.889428625
206	63.6376161317
208	64.4516281509
210	61.4160354916
212	59.5220240799
214	61.3370675592
216	59.127419771
218	59.4920355024
220	61.4871611887
222	60.8249308922
224	62.8385521677
226	61.6584377659
228	60.4934504734
230	61.3916933089
232	60.9094560052
234	63.2122128435
236	63.3652604851
238	62.4210780754
240	62.7932596626
242	61.6352746506
244	61.889428625
246	63.6376161317
248	64.4516281509
250	61.4160354916
252	59.5220240799
254	61.3370675592
256	59.127419771
258	59.4920355024
260	61.4871611887
262	60.8249308922
264	62.8385521677
266	61.6584377659
268	60.4934504734
270	61.3916933089
272	60.9094560052
274	63.2122128435
276	63.3652604851
278	62.4210780754
280	62.7932596626
282	61.6352746506
284	61.889428625
286	63.6376161317
288	64.4516281509
290	61.4160354916
292	59.5220240799
294	61.3370675592
296	59.127419771
298	59.4920355024
300	61.4871611887
302	60.8249308922
304	62.8385521677
306	61.6584377659
308	60.4934504734
310	61.3916933089
312	60.9094560052
314	63.2122128435
316	63.3652604851
318	62.4210780754
320	62.7932596626
322	61.6352746506
324	61.889428625
326	63.6376161317
328	64.4516281509
330	61.4160354916
332	59.5220240799
334	61.3370675592
336	59.127419771
338	59.4920355024
340	61.4871611887
342	60.8249308922
344	62.8385521677
346	61.6584377659
348	60.4934504734
350	61.3916933089
352	60.9094560052
354	63.2122128435
356	63.3652604851
358	62.4210780754
360	62.7932596626
362	61.6352746506
364	61.889428625
366	63.6376161317
368	64.4516281509
370	61.4160354916
372	59.5220240799
374	61.3370675592
376	59.127419771
378	59.4920355024
380	61.4871611887
382	60.8249308922
384	62.8385521677
386	61.6584377659
388	60.4934504734
390	61.3916933089
392	60.9094560052
394	63.2122128435
396	63.3652604851
398	62.4210780754
400	62.7932596626
402	61.6352746506
404	61.889428625
406	63.6376161317
408	64.4516281509
410	61.4160354916
412	59.5220240799
414	61.3370675592
416	59.127419771
418	59.4920355024
420	61.4871611887
422	60.8249308922
424	62.8385521677
426	61.6584377659
428	60.4934504734
430	61.3916933089
432	60.9094560052
434	63.2122128435
436	63.3652604851
438	62.4210780754
440	62.7932596626
442	61.6352746506
444	61.889428625
446	63.6376161317
448	64.4516281509
450	61.4160354916
452	59.5220240799
454	61.3370675592
456	59.127419771
458	59.4920355024
460	61.4871611887
462	60.8249308922
464	62.8385521677
466	61.6584377659
468	60.4934504734
470	61.3916933089
472	60.9094560052
474	63.2122128435
476	63.3652604851
478	62.4210780754
480	62.7932596626
482	61.6352746506
484	61.889428625
486	63.6376161317
488	64.4516281509
490	61.4160354916
