# Time(ps)	DOPC
0.0	143.913459572
2.0	141.554204071
4.0	146.352644444
6.0	146.352632881
8.0	146.352603228
10.0	148.875937724
12.0	146.352583388
14.0	146.352626893
16.0	141.554188796
18.0	143.913443952
20.0	141.554177075
22.0	143.913459642
24.0	143.913409016
26.0	143.913416044
28.0	143.913428464
30.0	143.913401219
32.0	143.913426406
34.0	148.875937525
36.0	151.487788152
38.0	148.875939075
