# Time(ps)	DOPC
0.0	179.891804486
2.0	183.719276257
4.0	176.220510872
6.0	176.220564192
8.0	176.220521619
10.0	172.696087622
12.0	176.220528281
14.0	176.220545064
16.0	183.719249136
18.0	179.891790381
20.0	183.719293727
22.0	179.89175752
24.0	179.89176713
26.0	179.891761024
28.0	179.891818752
30.0	179.891758665
32.0	179.891781124
34.0	172.696120767
36.0	169.309911797
38.0	172.696143491
