# ps/frame	X-axis	Y-axis	Z-axis	Alpha	Beta	Gamma	Volumn
0.0	93.1383	93.1383	82.3925	90.0	90.0	90.0	714733.30449
2.0	93.1976	93.1976	82.2275	90.0	90.0	90.0	714210.711601
4.0	93.1361	93.1361	82.6607	90.0	90.0	90.0	717026.508124
6.0	93.0432	93.0432	82.7233	90.0	90.0	90.0	716138.157821
8.0	93.1675	93.1675	82.8018	90.0	90.0	90.0	718735.70306
10.0	93.1206	93.1206	82.8254	90.0	90.0	90.0	718215.657321
12.0	92.9342	92.9342	82.7617	90.0	90.0	90.0	714794.172531
14.0	92.9421	92.9421	82.9601	90.0	90.0	90.0	716628.510331
16.0	92.8469	92.8469	82.7994	90.0	90.0	90.0	713775.588297
18.0	92.7782	92.7782	82.7927	90.0	90.0	90.0	712663.155288
20.0	93.1383	93.1383	82.3925	90.0	90.0	90.0	714733.30449
22.0	93.1976	93.1976	82.2275	90.0	90.0	90.0	714210.711601
24.0	93.1361	93.1361	82.6607	90.0	90.0	90.0	717026.508124
26.0	93.0432	93.0432	82.7233	90.0	90.0	90.0	716138.157821
28.0	93.1675	93.1675	82.8018	90.0	90.0	90.0	718735.70306
30.0	93.1206	93.1206	82.8254	90.0	90.0	90.0	718215.657321
32.0	92.9342	92.9342	82.7617	90.0	90.0	90.0	714794.172531
34.0	92.9421	92.9421	82.9601	90.0	90.0	90.0	716628.510331
36.0	92.8469	92.8469	82.7994	90.0	90.0	90.0	713775.588297
38.0	92.7782	92.7782	82.7927	90.0	90.0	90.0	712663.155288
