# ps/frame	X-axis	Y-axis	Z-axis	Alpha	Beta	Gamma	Volumn
430.0	66.8621	66.8621	63.7251	90.0	90.0	90.0	284885.155179
435.0	66.6666	66.6666	63.8615	90.0	90.0	90.0	283828.761873
440.0	66.4977	66.4977	64.144	90.0	90.0	90.0	283640.836639
445.0	66.5827	66.5827	63.9167	90.0	90.0	90.0	283359.133897
450.0	66.5637	66.5637	64.0632	90.0	90.0	90.0	283846.254241
455.0	66.4154	66.4154	63.9934	90.0	90.0	90.0	282275.493871
460.0	66.4682	66.4682	64.5199	90.0	90.0	90.0	285050.309177
465.0	66.309	66.309	64.6958	90.0	90.0	90.0	284459.354576
470.0	66.4883	66.4883	64.4501	90.0	90.0	90.0	284914.688744
475.0	66.4486	66.4486	64.0932	90.0	90.0	90.0	282997.885037
480.0	66.7327	66.7327	64.0465	90.0	90.0	90.0	285215.030137
485.0	66.5874	66.5874	63.8974	90.0	90.0	90.0	283313.59439
490.0	66.5458	66.5458	64.2157	90.0	90.0	90.0	284368.996831
495.0	66.4575	66.4575	64.2765	90.0	90.0	90.0	283883.536577
500.0	66.7497	66.7497	63.6551	90.0	90.0	90.0	283616.936534
505.0	66.5617	66.5617	63.8762	90.0	90.0	90.0	283001.20059
510.0	66.8057	66.8057	63.766	90.0	90.0	90.0	284587.660766
515.0	66.8082	66.8082	63.6879	90.0	90.0	90.0	284260.648759
520.0	66.798	66.798	63.744	90.0	90.0	90.0	284424.279651
525.0	66.9576	66.9576	63.4672	90.0	90.0	90.0	284543.479626
530.0	67.291	67.291	63.0164	90.0	90.0	90.0	285343.351222
535.0	66.792	66.792	63.3232	90.0	90.0	90.0	282495.928291
540.0	66.5113	66.5113	64.2278	90.0	90.0	90.0	284128.033918
545.0	66.3111	66.3111	64.507	90.0	90.0	90.0	283648.204371
550.0	66.6185	66.6185	64.2322	90.0	90.0	90.0	285063.783219
555.0	66.2535	66.2535	64.8619	90.0	90.0	90.0	284712.838682
560.0	66.2883	66.2883	64.7151	90.0	90.0	90.0	284367.106204
565.0	66.3302	66.3302	64.7297	90.0	90.0	90.0	284790.465297
570.0	66.5259	66.5259	64.1613	90.0	90.0	90.0	283958.545857
575.0	66.1432	66.1432	64.834	90.0	90.0	90.0	283643.553777
580.0	66.1896	66.1896	64.7333	90.0	90.0	90.0	283600.754207
585.0	66.2044	66.2044	64.7484	90.0	90.0	90.0	283793.948062
590.0	66.2324	66.2324	64.6023	90.0	90.0	90.0	283392.711389
