# ps/frame	X-axis	Y-axis	Z-axis	Alpha	Beta	Gamma	Volumn
430.0	58.5352	58.5352	93.1851	90.0	90.0	90.0	319285.962826
435.0	58.4946	58.4946	93.2399	90.0	90.0	90.0	319030.908236
440.0	58.4503	58.4503	93.4302	90.0	90.0	90.0	319198.703835
445.0	58.4156	58.4156	93.5704	90.0	90.0	90.0	319297.537423
450.0	58.5958	58.5958	92.9789	90.0	90.0	90.0	319239.5365
455.0	58.5078	58.5078	93.1409	90.0	90.0	90.0	318836.289256
460.0	58.1844	58.1844	94.1421	90.0	90.0	90.0	318710.659047
465.0	58.3924	58.3924	93.7011	90.0	90.0	90.0	319489.836461
470.0	58.1808	58.1808	93.8357	90.0	90.0	90.0	317634.326421
475.0	58.494	58.494	93.2751	90.0	90.0	90.0	319145.06053
480.0	58.6033	58.6033	92.9922	90.0	90.0	90.0	319366.930922
485.0	58.6841	58.6841	92.7342	90.0	90.0	90.0	319359.897237
490.0	58.8521	58.8521	91.7716	90.0	90.0	90.0	317857.472189
495.0	58.7509	58.7509	92.4666	90.0	90.0	90.0	319164.322715
500.0	58.8927	58.8927	92.3924	90.0	90.0	90.0	320449.613811
505.0	58.8473	58.8473	91.8268	90.0	90.0	90.0	317996.569633
510.0	58.8319	58.8319	92.2671	90.0	90.0	90.0	319354.390754
515.0	58.8039	58.8039	92.249	90.0	90.0	90.0	318988.164711
520.0	58.5619	58.5619	93.2709	90.0	90.0	90.0	319871.863554
525.0	58.7754	58.7754	92.4133	90.0	90.0	90.0	319246.338427
530.0	59.1414	59.1414	92.0398	90.0	90.0	90.0	321928.320054
535.0	59.0201	59.0201	91.6966	90.0	90.0	90.0	319413.186653
540.0	58.6824	58.6824	93.0156	90.0	90.0	90.0	320310.971784
545.0	59.0159	59.0159	92.0827	90.0	90.0	90.0	320712.67301
550.0	58.9399	58.9399	91.9751	90.0	90.0	90.0	319512.932044
555.0	58.8269	58.8269	92.2037	90.0	90.0	90.0	319080.202579
560.0	58.7296	58.7296	92.1811	90.0	90.0	90.0	317947.912384
565.0	58.629	58.629	92.5871	90.0	90.0	90.0	318254.889776
570.0	58.8759	58.8759	92.0009	90.0	90.0	90.0	318909.52079
575.0	58.8288	58.8288	92.0888	90.0	90.0	90.0	318703.971848
580.0	58.8895	58.8895	92.1045	90.0	90.0	90.0	319415.798586
585.0	58.5914	58.5914	92.8175	90.0	90.0	90.0	318638.054906
590.0	58.6872	58.6872	92.5672	90.0	90.0	90.0	318818.462795
595.0	58.7335	58.7335	92.3894	90.0	90.0	90.0	318708.705105
600.0	58.6508	58.6508	92.3465	90.0	90.0	90.0	317663.991791
605.0	58.9841	58.9841	91.8112	90.0	90.0	90.0	319422.606701
610.0	58.7404	58.7404	92.9993	90.0	90.0	90.0	320887.38771
615.0	58.389	58.389	93.6801	90.0	90.0	90.0	319381.58987
620.0	58.3362	58.3362	93.7327	90.0	90.0	90.0	318982.856722
625.0	58.4481	58.4481	92.9984	90.0	90.0	90.0	317699.27317
630.0	58.5479	58.5479	92.9118	90.0	90.0	90.0	318488.430022
635.0	58.6911	58.6911	92.3418	90.0	90.0	90.0	318085.187906
640.0	58.734	58.734	92.7282	90.0	90.0	90.0	319883.023697
645.0	58.6054	58.6054	93.1738	90.0	90.0	90.0	320014.080971
650.0	58.4922	58.4922	93.9549	90.0	90.0	90.0	321451.866571
655.0	58.184	58.184	93.6432	90.0	90.0	90.0	317018.30304
660.0	58.605	58.605	93.1015	90.0	90.0	90.0	319761.018269
665.0	58.7301	58.7301	92.5501	90.0	90.0	90.0	319225.951348
670.0	58.613	58.613	93.0853	90.0	90.0	90.0	319793.373605
675.0	58.8894	58.8894	92.288	90.0	90.0	90.0	320050.856613
680.0	58.3264	58.3264	93.3239	90.0	90.0	90.0	317485.348806
685.0	58.5892	58.5892	92.5456	90.0	90.0	90.0	317681.091062
690.0	58.5517	58.5517	92.8987	90.0	90.0	90.0	318484.501615
695.0	58.8699	58.8699	92.2014	90.0	90.0	90.0	319539.590571
700.0	58.6236	58.6236	93.4689	90.0	90.0	90.0	321227.026143
705.0	58.8798	58.8798	92.7432	90.0	90.0	90.0	321525.190543
710.0	58.7264	58.7264	92.6495	90.0	90.0	90.0	319528.571828
715.0	58.6865	58.6865	92.9023	90.0	90.0	90.0	319965.020956
720.0	58.6495	58.6495	92.8853	90.0	90.0	90.0	319503.334116
725.0	58.3847	58.3847	93.44	90.0	90.0	90.0	318515.981699
730.0	58.701	58.701	92.7601	90.0	90.0	90.0	319633.480691
735.0	59.0473	59.0473	91.3922	90.0	90.0	90.0	318646.740934
740.0	58.5041	58.5041	92.4035	90.0	90.0	90.0	316271.847698
745.0	59.1255	59.1255	91.4245	90.0	90.0	90.0	319603.872341
750.0	59.1625	59.1625	90.9848	90.0	90.0	90.0	318465.023888
755.0	59.1857	59.1857	91.072	90.0	90.0	90.0	319020.713089
760.0	59.0372	59.0372	92.0438	90.0	90.0	90.0	320808.064683
765.0	58.9663	58.9663	92.1321	90.0	90.0	90.0	320345.326094
770.0	59.0648	59.0648	91.4677	90.0	90.0	90.0	319098.385871
775.0	59.2096	59.2096	91.4257	90.0	90.0	90.0	320518.423764
780.0	59.174	59.174	91.0344	90.0	90.0	90.0	318762.609517
785.0	59.0903	59.0903	91.3543	90.0	90.0	90.0	318978.130572
790.0	59.0301	59.0301	91.6189	90.0	90.0	90.0	319251.184479
795.0	59.0246	59.0246	91.4035	90.0	90.0	90.0	318440.466893
800.0	59.1844	59.1844	90.9149	90.0	90.0	90.0	318456.124481
805.0	58.9167	58.9167	91.8189	90.0	90.0	90.0	318719.186438
810.0	58.9028	58.9028	91.3233	90.0	90.0	90.0	316849.295861
815.0	58.8729	58.8729	92.0519	90.0	90.0	90.0	319053.927928
820.0	58.56	58.56	92.6195	90.0	90.0	90.0	317617.463796
825.0	58.549	58.549	92.8544	90.0	90.0	90.0	318303.870121
830.0	58.485	58.485	92.5883	90.0	90.0	90.0	316697.653561
835.0	58.6172	58.6172	92.5861	90.0	90.0	90.0	318123.523826
840.0	58.7251	58.7251	92.3419	90.0	90.0	90.0	318453.454967
845.0	58.583	58.583	93.0005	90.0	90.0	90.0	319174.560519
850.0	58.5125	58.5125	93.0689	90.0	90.0	90.0	318641.001163
855.0	58.6113	58.6113	92.7895	90.0	90.0	90.0	318758.452185
860.0	58.6945	58.6945	93.1067	90.0	90.0	90.0	320756.505501
865.0	58.3772	58.3772	93.9979	90.0	90.0	90.0	320334.702257
870.0	58.5631	58.5631	93.3204	90.0	90.0	90.0	320054.756648
875.0	58.481	58.481	93.0943	90.0	90.0	90.0	318385.627213
880.0	58.6305	58.6305	92.9112	90.0	90.0	90.0	319385.844912
885.0	58.5025	58.5025	93.2503	90.0	90.0	90.0	319152.837455
890.0	58.4757	58.4757	93.0668	90.0	90.0	90.0	318233.374739
895.0	58.7447	58.7447	92.291	90.0	90.0	90.0	318490.387215
900.0	58.7272	58.7272	92.5836	90.0	90.0	90.0	319309.90342
905.0	58.8809	58.8809	92.2352	90.0	90.0	90.0	319775.389055
910.0	58.6779	58.6779	92.5496	90.0	90.0	90.0	318656.675232
915.0	58.658	58.658	92.5833	90.0	90.0	90.0	318556.984884
920.0	58.7108	58.7108	92.8122	90.0	90.0	90.0	319919.847903
925.0	58.6415	58.6415	92.8134	90.0	90.0	90.0	319168.964752
930.0	58.8007	58.8007	92.2872	90.0	90.0	90.0	319085.506216
935.0	58.6715	58.6715	92.4126	90.0	90.0	90.0	318115.559436
940.0	58.529	58.529	93.3345	90.0	90.0	90.0	319730.998784
945.0	58.4309	58.4309	93.2485	90.0	90.0	90.0	318365.766472
950.0	58.3993	58.3993	93.5548	90.0	90.0	90.0	319066.247641
