# ps/frame	Tilt angle
2	86.7408214011
4	78.3513077296
6	87.9753749511
8	81.5969373424
10	82.4100182943
12	83.9769346425
14	82.7161582044
16	79.7899504726
18	85.0439902961
20	84.0604926649
22	79.2875157164
24	77.88618996
26	82.2895669906
28	81.0624980413
30	80.3760886424
32	77.1351974462
34	79.9305266896
36	75.156582844
38	74.7552698034
40	72.710905471
