# Degree	Number_of_Sterols
0.0	0.0
0.1	0.0
0.2	0.000170454545455
0.3	0.0
0.4	0.000170454545455
0.5	0.000227272727273
0.6	0.000113636363636
0.7	0.000568181818182
0.8	0.000340909090909
0.9	0.000568181818182
1.0	0.000511363636364
1.1	0.000738636363636
1.2	0.000568181818182
1.3	0.00119318181818
1.4	0.000738636363636
1.5	0.000738636363636
1.6	0.000795454545455
1.7	0.00102272727273
1.8	0.000681818181818
1.9	0.000852272727273
2.0	0.00107954545455
2.1	0.00102272727273
2.2	0.00113636363636
2.3	0.00113636363636
2.4	0.00113636363636
2.5	0.00147727272727
2.6	0.000909090909091
2.7	0.00130681818182
2.8	0.00147727272727
2.9	0.00176136363636
3.0	0.00147727272727
3.1	0.00119318181818
3.2	0.00102272727273
3.3	0.00198863636364
3.4	0.00181818181818
3.5	0.00170454545455
3.6	0.00170454545455
3.7	0.00204545454545
3.8	0.00221590909091
3.9	0.00193181818182
4.0	0.00198863636364
4.1	0.00210227272727
4.2	0.00198863636364
4.3	0.00227272727273
4.4	0.00221590909091
4.5	0.00244318181818
4.6	0.00227272727273
4.7	0.00210227272727
4.8	0.00181818181818
4.9	0.001875
5.0	0.00221590909091
5.1	0.00198863636364
5.2	0.00204545454545
5.3	0.00221590909091
5.4	0.00215909090909
5.5	0.00204545454545
5.6	0.003125
5.7	0.00244318181818
5.8	0.00284090909091
5.9	0.00255681818182
6.0	0.00301136363636
6.1	0.0025
6.2	0.00272727272727
6.3	0.003125
6.4	0.00306818181818
6.5	0.00329545454545
6.6	0.00318181818182
6.7	0.00255681818182
6.8	0.00352272727273
6.9	0.00295454545455
7.0	0.00352272727273
7.1	0.00340909090909
7.2	0.003125
7.3	0.00193181818182
7.4	0.00323863636364
7.5	0.00352272727273
7.6	0.00284090909091
7.7	0.00289772727273
7.8	0.00284090909091
7.9	0.00323863636364
8.0	0.00363636363636
8.1	0.00397727272727
8.2	0.00409090909091
8.3	0.00420454545455
8.4	0.00380681818182
8.5	0.00295454545455
8.6	0.00369318181818
8.7	0.00488636363636
8.8	0.00380681818182
8.9	0.00448863636364
9.0	0.00392045454545
9.1	0.00323863636364
9.2	0.00329545454545
9.3	0.00443181818182
9.4	0.00335227272727
9.5	0.00397727272727
9.6	0.00352272727273
9.7	0.00426136363636
9.8	0.00340909090909
9.9	0.00375
10.0	0.00329545454545
10.1	0.00386363636364
10.2	0.00352272727273
10.3	0.00335227272727
10.4	0.00403409090909
10.5	0.00380681818182
10.6	0.00375
10.7	0.00335227272727
10.8	0.00386363636364
10.9	0.00443181818182
11.0	0.00426136363636
11.1	0.00443181818182
11.2	0.00426136363636
11.3	0.00397727272727
11.4	0.00420454545455
11.5	0.00397727272727
11.6	0.00386363636364
11.7	0.00426136363636
11.8	0.00386363636364
11.9	0.00386363636364
12.0	0.00340909090909
12.1	0.00392045454545
12.2	0.00414772727273
12.3	0.00448863636364
12.4	0.00431818181818
12.5	0.004375
12.6	0.00340909090909
12.7	0.00369318181818
12.8	0.00505681818182
12.9	0.004375
13.0	0.00369318181818
13.1	0.00511363636364
13.2	0.00392045454545
13.3	0.00471590909091
13.4	0.00443181818182
13.5	0.00352272727273
13.6	0.00505681818182
13.7	0.005
13.8	0.00511363636364
13.9	0.00352272727273
14.0	0.00511363636364
14.1	0.00409090909091
14.2	0.00465909090909
14.3	0.00443181818182
14.4	0.00426136363636
14.5	0.00443181818182
14.6	0.004375
14.7	0.00426136363636
14.8	0.004375
14.9	0.00420454545455
15.0	0.00443181818182
15.1	0.00482954545455
15.2	0.00431818181818
15.3	0.00392045454545
15.4	0.00392045454545
15.5	0.00409090909091
15.6	0.00363636363636
15.7	0.00460227272727
15.8	0.00494318181818
15.9	0.00363636363636
16.0	0.00392045454545
16.1	0.004375
16.2	0.00448863636364
16.3	0.00517045454545
16.4	0.00386363636364
16.5	0.00477272727273
16.6	0.00352272727273
16.7	0.00375
16.8	0.00443181818182
16.9	0.00403409090909
17.0	0.00431818181818
17.1	0.00494318181818
17.2	0.00431818181818
17.3	0.00426136363636
17.4	0.00409090909091
17.5	0.00482954545455
17.6	0.00460227272727
17.7	0.00346590909091
17.8	0.00482954545455
17.9	0.00346590909091
18.0	0.00465909090909
18.1	0.00363636363636
18.2	0.00386363636364
18.3	0.00465909090909
18.4	0.00352272727273
18.5	0.00420454545455
18.6	0.00522727272727
18.7	0.00386363636364
18.8	0.00318181818182
18.9	0.00448863636364
19.0	0.00454545454545
19.1	0.00261363636364
19.2	0.00352272727273
19.3	0.00335227272727
19.4	0.00363636363636
19.5	0.00369318181818
19.6	0.00357954545455
19.7	0.00346590909091
19.8	0.00346590909091
19.9	0.00420454545455
20.0	0.00369318181818
20.1	0.00392045454545
20.2	0.00335227272727
20.3	0.00380681818182
20.4	0.00284090909091
20.5	0.00414772727273
20.6	0.00329545454545
20.7	0.00352272727273
20.8	0.00369318181818
20.9	0.00431818181818
21.0	0.00267045454545
21.1	0.00335227272727
21.2	0.00335227272727
21.3	0.00301136363636
21.4	0.00369318181818
21.5	0.00369318181818
21.6	0.00448863636364
21.7	0.00272727272727
21.8	0.00397727272727
21.9	0.00301136363636
22.0	0.00340909090909
22.1	0.00284090909091
22.2	0.00403409090909
22.3	0.00352272727273
22.4	0.00375
22.5	0.00295454545455
22.6	0.00318181818182
22.7	0.00301136363636
22.8	0.00306818181818
22.9	0.00272727272727
23.0	0.00289772727273
23.1	0.00357954545455
23.2	0.00363636363636
23.3	0.00352272727273
23.4	0.00289772727273
23.5	0.00289772727273
23.6	0.00340909090909
23.7	0.00318181818182
23.8	0.00340909090909
23.9	0.0025
24.0	0.00335227272727
24.1	0.00301136363636
24.2	0.00244318181818
24.3	0.00295454545455
24.4	0.00329545454545
24.5	0.00301136363636
24.6	0.003125
24.7	0.00301136363636
24.8	0.00221590909091
24.9	0.00301136363636
25.0	0.003125
25.1	0.00221590909091
25.2	0.00357954545455
25.3	0.00306818181818
25.4	0.00255681818182
25.5	0.00306818181818
25.6	0.00255681818182
25.7	0.00267045454545
25.8	0.00227272727273
25.9	0.00261363636364
26.0	0.0025
26.1	0.00255681818182
26.2	0.00193181818182
26.3	0.00232954545455
26.4	0.00244318181818
26.5	0.00176136363636
26.6	0.00210227272727
26.7	0.00267045454545
26.8	0.00215909090909
26.9	0.00244318181818
27.0	0.00221590909091
27.1	0.00232954545455
27.2	0.00181818181818
27.3	0.00255681818182
27.4	0.00227272727273
27.5	0.00159090909091
27.6	0.00159090909091
27.7	0.001875
27.8	0.00198863636364
27.9	0.00164772727273
28.0	0.00181818181818
28.1	0.00244318181818
28.2	0.00215909090909
28.3	0.00170454545455
28.4	0.00142045454545
28.5	0.00153409090909
28.6	0.001875
28.7	0.00153409090909
28.8	0.00210227272727
28.9	0.00221590909091
29.0	0.00164772727273
29.1	0.00193181818182
29.2	0.00181818181818
29.3	0.00164772727273
29.4	0.00159090909091
29.5	0.00170454545455
29.6	0.00210227272727
29.7	0.00130681818182
29.8	0.00164772727273
29.9	0.00164772727273
30.0	0.00102272727273
30.1	0.00153409090909
30.2	0.00193181818182
30.3	0.00159090909091
30.4	0.00125
30.5	0.00136363636364
30.6	0.00125
30.7	0.000965909090909
30.8	0.00125
30.9	0.00142045454545
31.0	0.00130681818182
31.1	0.00136363636364
31.2	0.00125
31.3	0.00153409090909
31.4	0.00130681818182
31.5	0.000965909090909
31.6	0.00142045454545
31.7	0.00153409090909
31.8	0.00147727272727
31.9	0.000738636363636
32.0	0.00119318181818
32.1	0.000852272727273
32.2	0.000909090909091
32.3	0.000795454545455
32.4	0.00113636363636
32.5	0.00142045454545
