# Bin ranges
#	3.0	4.0	5.0	6.0	7.0	8.0	9.0	10.0	11.0	12.0	13.0	14.0	15.0	16.0
# Range	Density
3.0	0.289410571927
4.0	0.295483703893
5.0	0.299025262216
6.0	0.312108619307
7.0	0.312987906627
8.0	0.320915614516
9.0	0.318972454525
10.0	0.318230025682
11.0	0.316113409705
12.0	0.31407358536
13.0	0.307527953188
14.0	0.302516885901
15.0	0.296734197463
16.0	0.287156526277
